iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.1380352973938,-3.00999031083623,6.80915423230548,36.6028840810466,-8.64335026051846,0,133.473942688752,0.05,0.091580629348755,2.36700367927551,0.025635846,0.04760799,-3.00999031083623,0,40000,2.10593557357788,0.991387555167644,0.804291405796324,-4.18972356686917,0
1,9.82204794883728,-2.24197637691238,10.7512218103151,74.2316646173874,-8.47228861829572,0,123.396305757218,0.05,0.120270252227783,2.34978604316711,0.024754822,0.040324878,-2.93318891744384,0,40000,7.18806624412537,0.963397475925544,0.810268879552236,-3.83127980945628,0
2,9.81742548942566,-2.68622724733441,8.06722835625354,51.9829846370841,-8.76490805274874,0,139.457275576428,0.05,0.101741313934326,2.25728917121887,0.025234101,0.035782427,-2.9084927504329,0,40000,10.6824779510498,0.881624330491804,0.67897304332013,-3.08859409364503,0
3,10.0252010822296,0.600450380717117,47.0875177820014,656.860630011296,-8.40856827425916,0.5,139.479166897068,0.05,0.102190256118774,2.06277537345886,0.024192624,0.05094772,-2.5575984373179,0.5,40000,6.54535913467407,0.966272955016167,0.837122981314601,-1.3892500696298,0
4,10.1138777732849,1.94701932774735,28.7066237744828,349.573946154558,-8.35358193903409,0,142.494373207836,0.05,0.086435079574585,2.03611350059509,0.025437213,0.038114853,-2.10713666081137,0,40000,12.5455601215363,0.942942516520207,0.819168822081643,0.20185232662309,0
5,10.0688834190369,-0.946856720871911,15.7359384595119,140.802564073353,-9.49569098203618,0,135.823143509116,0.05,0.089521646499634,2.27930784225464,0.024760999,0.04034901,-1.99110866681743,0,40000,11.2459075450897,0.984296098260147,0.884275591226657,-0.160773598868681,0
6,10.0250346660614,-0.566261200446121,14.1994701537249,118.678237652029,-8.19618150209178,0,137.997556271788,0.05,0.087120294570923,2.00340104103088,0.025177766,0.038049452,-1.84862392018029,0,40000,11.487193107605,0.801261008494583,0.701382183591754,3.73462274020039,0
7,10.1479785442352,2.38853995644245,56.4337286373686,742.944009631605,-11.0574563445538,0.5,134.383374583965,0.05,0.094468832015991,2.23336625099182,0.024612091,0.04499719,-1.42490753251802,0.5,40000,6.64216470718384,0.961989409187419,0.820195936006724,11.8642169457818,0
8,10.0618669986725,-0.718829874661213,23.4438703736281,303.699317340594,-8.56694184970444,0,125.186841562922,0.05,0.09224534034729,2.19424390792847,0.02497421,0.046861198,-1.35429976673234,0,40000,6.72070932388306,1.06866732796159,0.872285660829065,2.92992701113759,0
9,10.2309999465942,-0.750714502682102,12.729773480843,73.2658086982709,-8.16958860788425,0,144.634715233799,0.05,0.095437288284302,2.23719692230225,0.025130657,0.033900306,-1.29394124032732,0,40000,10.1439321041107,1.05531804439924,0.792452239302414,6.65579629173106,0
10,10.3199517726898,-1.53912936291722,14.2027337948608,147.881082500555,-8.9412722935353,0,130.08366835891,0.05,0.091130971908569,2.13410806655884,0.025923828,0.039703228,-1.31846005258631,0,40000,9.48195910453796,0.827977216961244,0.739686965512593,8.15573095853149,0
11,10.2486386299133,-1.15243334373446,11.2411715528375,75.281555164348,-7.92177517714437,0,132.947464039607,0.05,0.091675758361816,2.03217267990112,0.0249836,0.040006742,-1.30185738170112,0,40000,5.75948548316956,0.896396793115454,0.767242199997683,7.79949372803491,0
12,12.4638874530792,-0.07666368475884,16.5896602853819,146.863047585842,-13.0265407135168,0,140.443142062194,0.05,0.123671770095825,2.38591003417969,0.025031408,0.040956367,-1.17933801200689,0,40000,8.481525182724,0.74846237729691,0.721458722467412,13.5717711000133,0
13,9.9043550491333,-0.726936197747755,13.0142948302958,92.9245929970502,-13.4506669196012,0,129.384878717537,0.05,0.093302011489868,2.03229856491089,0.024955804,0.036249947,-1.13409783058098,0,40000,9.70700669288635,0.998928044205099,0.670125974668336,17.661731422041,0
14,10.2399396896362,4.78706288401128,26.6166668131887,224.200033309917,-8.56641947398235,0,127.853950983275,0.05,0.101840257644653,1.99452877044678,0.025042059,0.051862642,-0.541981759121754,0,40000,8.70641088485718,0.799852297751184,0.644450102621546,30.6569881039283,0
15,10.4241142272949,5.11681629606201,37.1657297682064,380.564768127318,-11.4272084113147,0,142.775874477229,0.05,0.09046483039856,2.24857687950134,0.025256682,0.03656371,0.023898046396622,0,40000,5.67891764640808,0.806888203734007,0.715742118858312,37.9092164864984,4
16,10.5157775878906,2.14340744477308,22.5049670738379,175.390303814171,-13.5225618682159,0,133.685944731632,0.05,0.084228754043579,1.92325258255005,0.025637673,0.04277777,0.235848986234268,0,40000,6.07103586196899,0.778417269900589,0.662181677023642,27.851481237742,0
17,10.3351686000824,4.67299383537667,40.40674464707,479.845620226203,-11.4610298437798,0.5,127.688340606181,0.05,0.093815565109253,1.89223265647888,0.025163058,0.06969937,0.679563471148508,0.5,40000,7.25450944900513,0.759655276877633,0.627806546234592,26.2686278082097,0
18,10.5027475357056,4.00977102196766,25.1032053572602,188.546703114358,-9.76000998684268,0,136.200451690766,0.05,0.083253383636475,2.34432721138,0.024934823,0.043824326,1.01258422623042,0,40000,10.6826574802399,0.742698933913407,0.607597021930058,25.5618530754985,0
19,10.8028421401978,5.50393089385812,30.6527256353625,306.781955194138,-7.76663498819339,0.5,137.760979416368,0.05,0.089075803756714,2.30466198921204,0.025278771,0.03782032,1.46171889299319,0.5,40000,7.85525417327881,0.758763558059559,0.679647804891614,58.7759246962172,4
20,10.5000188350677,7.89081726304711,50.6256499129383,591.128653250476,-12.3193705249722,0.5,155.734824457877,0.05,0.086945772171021,2.15224647521973,0.024931993,0.038703535,2.10462872999858,0.5,40000,15.3772571086884,0.789561811279701,0.696269192676448,41.4753990956064,4
21,10.9313998222351,4.48211782237023,30.6244467287791,224.91223202447,-12.4300606908814,0,133.218015348021,0.05,0.111430168151855,2.16339802742004,0.025335489,0.04092297,2.34237763923575,0,40000,7.93170213699341,0.827892293915822,0.609831118585911,25.0173382319641,0
22,10.4221551418304,5.881441197088,31.403646084106,228.821809641421,-11.2233383067642,0,141.550865101428,0.05,0.097209930419922,2.24120450019836,0.025191713,0.038468055,2.69628399502097,0,40000,7.44900989532471,0.746284379485013,0.65931077636808,13.4732292009032,0
23,10.3157861232758,11.0490241955019,53.1511346121323,471.95700234662,-13.7384823863137,0.5,139.17769933347,0.05,0.090021371841431,2.20031523704529,0.024323838,0.03981564,3.53155801506907,0.5,40000,11.3865365982056,0.797227256401894,0.619279947297371,11.1800694985168,0
24,10.4118239879608,10.8442948878168,60.7420816946161,576.381742578419,-11.9077923933606,0.5,146.111737209034,0.05,0.089946746826172,2.18292641639709,0.025006441,0.04256379,4.26283170234385,0.5,40000,5.78257989883423,0.76699746162033,0.678988040644097,13.1466764747547,0
25,10.4011824131012,8.94370599774684,30.6872430198436,180.678490969001,-12.390368541517,0,135.680545267798,0.05,0.135675668716431,2.77103042602539,0.025010107,0.03697472,4.73091913188414,0,40000,7.67915105819702,0.884682622376543,0.624077225464743,18.8221840802656,0
26,10.3045294284821,29.9759117981522,119.240378684036,878.741884219747,-13.2639032084289,2.5,135.841754390907,0.05,0.088626861572266,2.33269786834717,0.025782716,0.042235628,7.25541839851095,2.5,40000,6.85546660423279,0.852812087214087,0.681099237466533,35.7984908753809,0
27,10.420503616333,29.2228076363593,114.297172869501,927.669076412165,-9.70094527396988,2.5,136.044856229874,0.05,0.085167169570923,2.26258850097656,0.024752872,0.04189083,9.45215732229579,2.5,40000,7.92368102073669,0.808807559892598,0.641143961381644,19.9153632323038,0
28,10.2011239528656,14.1479126009399,66.8691923945196,685.785206787624,-13.5637423687418,0.5,133.19725953147,0.05,0.082708120346069,2.21182584762573,0.024968332,0.04162533,9.92173285016021,0.5,40000,8.91912817955017,0.85359489290684,0.716784162578661,39.1006930023928,0
29,10.5081810951233,18.2415886551813,137.665993893539,1916.73773956923,-10.3170608317628,0.5,169.105783863122,0.05,0.096228837966919,2.22932600975037,0.025738306,0.039319877,10.7537184306623,0.5,40000,13.0886681079865,0.879752351171747,0.656547102365985,31.9332963759144,0
30,10.1136164665222,14.6097462290342,98.5263169669435,1283.78998964913,-15.4916066105088,0.5,130.970904921475,0.05,0.09295392036438,2.01436638832092,0.025529029,0.04220819,11.1393212104995,0.5,40000,8.41916012763977,0.756548086870956,0.558739597139139,25.7379269423508,0
