iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,t_opt,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.887456893920898,-3.1188524650188527,7.026265058352533,63.106917531724044,-7.847447353278403,0.0,20.275892734527588,0.052938603,0.00027971933,-3.1188524650188527,0.0,40000,1.4108433723449707,0.9919306436772477,0.8651478453301166,-3.9860369512579066,0.0
1,15.963441371917725,-1.9818006593575888,9.28088399095157,59.62473506086248,-7.183192760464464,0.0,37.54883360862732,0.031977132,0.00024424362,-3.0051472844527263,0.0,40000,3.5396666526794434,0.9051367286492993,0.7630803491163538,-3.372484707130133,0.0
2,10.532367706298828,2.7415450069060436,61.89882538602835,866.3105656787525,-12.562006885051794,0.5,47.15125107765198,0.04289742,0.0002205078,-2.4304780553168492,0.5,40000,9.816219329833984,0.9732682176399946,0.8716407623463338,-3.2842720524408464,0.0
3,9.650167465209961,-2.5333145137839947,7.2274068538034575,48.241925702485325,-11.580412002492682,0.0,19.291386127471924,0.027538963,0.00029854456,-2.440761701163564,0.0,40000,13.932547330856323,3.1097338738343168,0.8292591237378617,-3.024258736011755,0.0
4,11.212196111679077,-0.9283513251825687,9.411812051103075,47.14761267116407,-11.175653548270104,0.0,21.784907817840576,0.033309087,0.0002954116,-2.2895206635654644,0.0,40000,6.437358617782593,0.8828500010096286,0.816247224828966,14.610995538862245,0.0
5,10.692638158798218,-0.29487908204476243,12.476157135791738,63.36931157382696,-11.151512299070346,0.0,18.391079425811768,0.03036992,0.00029363867,-2.090056505413394,0.0,40000,7.503850221633911,0.8227724026173631,0.7082271078542066,4.508784016823259,0.0
6,9.998499393463135,0.8989769519089869,18.865780728500845,149.99873019829994,-16.18523513456312,0.0,29.166064262390137,0.0381593,0.00028402166,-1.7911531596811558,0.0,40000,10.020567893981934,0.8192440665585548,0.7560193171302199,7.325200178825355,0.0
7,11.482347249984741,-0.5853740543892101,11.528320501044096,70.03749768770422,-12.540241650515974,0.0,31.219483375549316,0.032229945,0.00028505162,-1.6705752491519612,0.0,40000,8.839356660842896,0.8180495507866675,0.7125731766612842,11.845797336099281,0.0
8,10.572548151016235,0.6201228952436801,14.026610611102218,77.64971305563199,-12.238449851111167,0.0,34.612226724624634,0.033221226,0.00029389697,-1.4415054347123972,0.0,40000,10.785972356796265,0.701854799797093,0.6037901735820397,3.798771708820337,0.0
9,9.895469188690186,2.3031653786427224,23.30700683196386,225.4966851152193,-11.792178710310464,0.0,36.19550967216492,0.041526165,0.00032400046,-1.0670383533768852,0.0,40000,5.5794758796691895,0.8613288149826797,0.7504087771626204,0.9288262523277883,0.0
