iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,14.253151893615723,-2.2740608357357592,10.19600124622099,69.28159266168916,-8.376758659433545,0.0,135.86066372230556,0.05,0.1270616054534912,2.7182610034942627,0.024542661,0.041806437,-2.2740608357357592,0.0,40000,2.924969434738159,0.9988880088915655,0.8333807515455327,-4.674015954367376,0.0
1,16.7835636138916,-3.179446348170694,8.64397848795801,66.1372305080849,-8.020820539740415,0.0,134.2389384829238,0.05,0.16447854042053223,2.8155264854431152,0.025355693,0.040237054,-2.3645993869792528,0.0,40000,9.63242793083191,0.9797982625730752,0.8703579585701213,-4.4199143603485656,0.0
2,15.216733455657959,-1.7516060138499632,11.824552630012047,85.03430883175383,-9.752655720060645,0.0,147.15837979088815,0.05,0.11833310127258301,2.701976776123047,0.025207415,0.036238413,-2.303300049666324,0.0,40000,12.49571704864502,0.8869080253453472,0.8153141362844762,-3.5568369222306297,0.0
3,20.93732786178589,-0.8450103959939813,13.72293048948246,74.73484325439605,-7.41114408509173,0.0,137.6138204789049,0.05,0.20988917350769043,3.8771345615386963,0.02542589,0.04030494,-2.1574710842990896,0.0,40000,16.598309993743896,0.8626555851638005,0.788688120928978,-2.1927821171618764,0.0
4,19.549487352371216,-0.7371329996222432,13.39383384082378,85.91706207709954,-10.953473621113096,0.0,130.0323469229442,0.05,0.17627882957458496,4.150221347808838,0.025764197,0.045084063,-2.015437275831405,0.0,40000,16.465333223342896,0.833718021085044,0.7537502866373292,-0.31802765519494713,0.0
5,23.027339458465576,1.4278575339261956,29.80852557357,380.3393589313781,-12.301541074107522,0.5,176.19131373623696,0.05,0.1681687831878662,3.4873061180114746,0.025145335,0.03710434,-1.6711077948556452,0.5,40000,21.342958450317383,0.908035072281996,0.8593488874515295,0.17212109507091902,0.0
6,30.34852957725525,-1.4356257630461147,12.008485628370654,115.64990416928343,-9.65305208965048,0.0,134.2619460861733,0.05,0.6927008628845215,4.6869001388549805,0.024941819,0.03757291,-1.6475595916746923,0.0,40000,19.10216975212097,1.7145693545145713,0.8728180429125073,8.993825503402249,0.0
7,19.96315884590149,2.984852466010192,38.794597758351024,490.49003457159245,-8.952481776415228,0.0,119.70340487872106,0.05,0.17085742950439453,3.3619401454925537,0.025936982,0.041707955,-1.1843183859062039,0.0,40000,19.347681283950806,0.9516730181294564,0.9341216869406557,9.080686478607868,0.0
8,20.284542560577393,3.6118402744811293,38.440108645063155,425.0822047195691,-11.504158471919789,0.5,131.65409741172635,0.05,0.3714113235473633,4.209207057952881,0.025964377,0.043688554,-0.7047025198674705,0.5,40000,19.834014654159546,0.9960375149220694,0.8723994201442367,4.863128314088518,0.0
9,27.55588960647583,2.1812033833837035,26.454772027367273,256.9243135433045,-14.469450348566046,0.0,153.6229409295061,0.05,0.16544771194458008,3.8955371379852295,0.024917549,0.03701219,-0.41611192954235304,0.0,40000,17.661080360412598,0.8636865945403688,0.7575855826230158,3.5089202709124776,0.0
10,23.092515468597412,2.5563665473466637,22.604448430782828,160.44205478169678,-7.148955838905378,0.0,141.99406046610392,0.05,0.2039339542388916,4.36151385307312,0.02543413,0.040539842,-0.11886408185345132,0.0,40000,17.666375160217285,0.7773744964471646,0.6686378878333037,6.8807080448622955,0.0
11,23.965873956680298,0.8431891414196485,22.62070110696958,248.51961455963146,-11.24378098623083,0.0,131.32740313202086,0.05,0.1737060546875,4.698163747787476,0.024913903,0.050801806,-0.02265875952614134,0.0,40000,14.916677713394165,0.8859182845536921,0.7262670813302848,10.486367117731975,0.0
