iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,17.30921506881714,-3.261206279152421,8.023299348006745,57.42028831002215,-9.215771778466392,0.0,141.72886426104074,0.05,1.2043490409851074,4.461608648300171,0.024795786,0.0438783,-3.261206279152421,0.0,40000,2.3914244174957275,0.9941003230340248,0.8352464377037586,-4.515325007038392,0.0
1,18.74682116508484,-1.1749375784403597,13.892536479055186,105.32156041303904,-7.852285189276826,0.0,112.25912439184161,0.05,0.25280165672302246,3.856168508529663,0.024488807,0.061240327,-3.052579409081215,0.0,40000,12.639447450637817,0.9424306890006536,0.7960635126613379,-4.320578106435704,0.0
2,17.359355688095093,-2.4853447347433133,9.950346148634264,75.4588522816209,-8.36228761242125,0.0,145.34980518370116,0.05,0.10989856719970703,2.6602721214294434,0.025400182,0.034323398,-2.9958559416474246,0.0,40000,13.15681505203247,1.0460187374945016,0.7473727356210476,-3.4231662190999774,0.0
3,15.190229415893555,-2.3342747454995547,10.204725627635376,70.27579542782031,-9.75357015893322,0.0,136.4670043845199,0.05,0.11038827896118164,2.5654022693634033,0.025191253,0.038466826,-2.929697822032638,0.0,40000,9.718257665634155,0.8208470552532923,0.7465218544763106,-2.1483652707287098,0.0
4,13.21984601020813,3.6921938869000144,45.93975116414014,440.92489430204364,-7.650659921711719,0.5,119.00415593926638,0.05,0.11161589622497559,2.6250574588775635,0.026181305,0.06340904,-2.267508651139373,0.5,40000,16.476702213287354,0.9547554564282297,0.7994863572916114,-2.932531257030594,0.0
5,14.150972127914429,-0.5802423725020504,15.977619775794025,125.83741804769579,-7.040095944663715,0.0,127.31294092806408,0.05,0.11584877967834473,2.609980821609497,0.025170222,0.03759688,-2.0987820232756405,0.0,40000,20.322683811187744,1.0797578183170484,0.6743348224742477,-3.8250605474867494,0.0
6,14.632642269134521,2.0321476286736986,41.13049654334299,505.7395448937954,-12.133016950974392,0.5,119.29556652878698,0.05,0.15445494651794434,2.4500231742858887,0.02383888,0.051993966,-1.6856890580807065,0.5,40000,21.31330394744873,0.8946811462450189,0.817861218427661,-1.323173353289929,0.0
7,14.27427053451538,2.614713122320171,37.83845523580465,378.4705013017368,-11.986954519561252,0.5,131.63522045569513,0.05,0.11053633689880371,2.7986061573028564,0.025095928,0.045748334,-1.2556488400406187,0.5,40000,12.978086233139038,0.8519778235889026,0.8040655513624022,0.1513539514457557,0.0
8,17.21773910522461,1.2807130802440405,22.098120808177487,221.26321478711793,-9.017938825236142,0.0,133.13545802899995,0.05,0.1715087890625,3.4140772819519043,0.024949143,0.037454303,-1.002012648012153,0.0,40000,9.016270399093628,1.0695463276030117,0.7990229805488642,9.858512021145167,0.0
9,16.46435523033142,3.29581325186023,43.408239836418616,513.0522277438934,-6.861559931608239,0.5,150.6655736881757,0.05,0.12519550323486328,2.5842623710632324,0.025147721,0.038146157,-0.5722300580249147,0.5,40000,8.94557809829712,0.8484635555793979,0.7308271532744891,4.1289903087292625,0.0
